participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 5,3,Shamar Joseph,West Indies,WI,BOWL,BOWL,1,0,0,0,44.0,0,1,44.0,PLAYING_XI,0,0,1,3,2026-02-15,1512743,0,0,0,0,Wickets: 1 → 30 | Dot balls: 10 → 10 | Announced: 1 → 4
Group 5,3,Michael Bracewell,New Zealand,NZ,AR,AR,0,4,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-14,1512742,0,0,0,0,DID NOT PLAY
Group 5,3,Ben Dwarshuis,Australia,AUS,BOWL,BOWL,0,1,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 5,3,Kwena Maphaka,South Africa,SA,BOWL,BOWL,0,3,0,0,0.0,0,1,0.0,SUB,0,0,0,3,2026-02-14,1512742,0,0,0,0,DID NOT PLAY
Group 5,3,Mohammed Siraj,India,IND,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,SUB,1,0,0,3,2026-02-15,1512745,0,0,0,0,DID NOT PLAY
Group 6,3,Kamil Mishara,Sri Lanka,SL,WK,WK,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,DID NOT PLAY
Group 6,3,Abhishek Sharma,India,IND,AR,BAT,0,1,0,0,2.0,0,1,2.0,PLAYING_XI,0,1,1,3,2026-02-15,1512745,1,0,0,0,Duck: 0 → -2 | Announced: 1 → 4
Group 6,3,Babar Azam,Pakistan,PAK,BAT,BAT,1,0,0,0,17.0,0,1,17.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 5 → 5 | Catches: 1 → 8 | Announced: 1 → 4
Group 6,3,Dewald Brevis,South Africa,SA,BAT,BAT,1,0,0,0,35.0,0,1,35.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 21 → 21 | Fours: 1 → 4 | Sixes: 1 → 6 | Announced: 1 → 4
Group 6,3,Jacob Bethell,England,ENG,AR,AR,1,0,1,0,62.0,0,2,124.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Runs: 32 → 32 | Fours: 2 → 8 | Sixes: 1 → 6 | Runs milestone bonus: 32 → 4 | Catches: 1 → 8 | Announced: 1 → 4
Group 6,3,Mohammad Nawaz,Pakistan,PAK,AR,AR,1,0,0,0,26.0,0,1,26.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 4 → 4 | Fours: 1 → 4 | Dot balls: 8 → 8 | Runout - indirect: 1 → 6 | Announced: 1 → 4
Group 6,3,Sam Curran,England,ENG,AR,AR,1,0,0,0,107.0,0,1,107.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,Runs: 28 → 28 | Fours: 1 → 4 | Sixes: 2 → 12 | Runs milestone bonus: 28 → 4 | Wickets: 1 → 30 | Dot balls: 7 → 7 | Catches: 2 → 16 | Strike Rate: 140.0 → 2 | Announced: 1 → 4
